CODE_IRIS,LIB_IRIS,TYP_IRIS,DEPCOM,LIBCOM
741060000,Draillant (commune non irisée),Z,74106,Draillant
741070000,Droisy (commune non irisée),Z,74107,Droisy
741080000,Duingt (commune non irisée),Z,74108,Duingt
741090000,Éloise (commune non irisée),Z,74109,Éloise
741110000,Entrevernes (commune non irisée),Z,74111,Entrevernes
741120000,Epagny Metz-Tessy (commune non irisée),Z,74112,Epagny Metz-Tessy
741140000,Essert-Romand (commune non irisée),Z,74114,Essert-Romand
741160000,Etaux (commune non irisée),Z,74116,Etaux
741170000,Étercy (commune non irisée),Z,74117,Étercy
741180000,Étrembières (commune non irisée),Z,74118,Étrembières
741190101,Bord du Lac,H,74119,Évian-les-Bains
741190102,Ville Haute,H,74119,Évian-les-Bains
741210000,Excenevex (commune non irisée),Z,74121,Excenevex
741220000,Faucigny (commune non irisée),Z,74122,Faucigny
741230101,Périphérie,H,74123,Faverges-Seythenex
741230102,Centre,H,74123,Faverges-Seythenex
741230201,Seythenex,H,74123,Faverges-Seythenex
741240000,Feigères (commune non irisée),Z,74124,Feigères
741260000,Fessy (commune non irisée),Z,74126,Fessy
741270000,Féternes (commune non irisée),Z,74127,Féternes
741280000,Fillinges (commune non irisée),Z,74128,Fillinges
741290000,La Forclaz (commune non irisée),Z,74129,La Forclaz
741300000,Franclens (commune non irisée),Z,74130,Franclens
741310000,Frangy (commune non irisée),Z,74131,Frangy
741330101,Les Terreaux-Vernaz,H,74133,Gaillard
741330102,Centre,H,74133,Gaillard
741330103,Moëllesulaz-Pont Noir,H,74133,Gaillard
741330104,Plaine et Châtelet,H,74133,Gaillard
741340000,Les Gets (commune non irisée),Z,74134,Les Gets
741350000,Giez (commune non irisée),Z,74135,Giez
741360000,Le Grand-Bornand (commune non irisée),Z,74136,Le Grand-Bornand
741370000,Groisy (commune non irisée),Z,74137,Groisy
741380000,Gruffy (commune non irisée),Z,74138,Gruffy
741390000,Habère-Lullin (commune non irisée),Z,74139,Habère-Lullin
741400000,Habère-Poche (commune non irisée),Z,74140,Habère-Poche
741410000,Hauteville-sur-Fier (commune non irisée),Z,74141,Hauteville-sur-Fier
741420000,Héry-sur-Alby (commune non irisée),Z,74142,Héry-sur-Alby
741430000,Les Houches (commune non irisée),Z,74143,Les Houches
741440000,Jonzier-Épagny (commune non irisée),Z,74144,Jonzier-Épagny
741450000,Juvigny (commune non irisée),Z,74145,Juvigny
741460000,Larringes (commune non irisée),Z,74146,Larringes
741470000,Lathuile (commune non irisée),Z,74147,Lathuile
741480000,Leschaux (commune non irisée),Z,74148,Leschaux
741500000,Loisin (commune non irisée),Z,74150,Loisin
741510000,Lornay (commune non irisée),Z,74151,Lornay
741520000,Lovagny (commune non irisée),Z,74152,Lovagny
741530000,Lucinges (commune non irisée),Z,74153,Lucinges
741540000,Lugrin (commune non irisée),Z,74154,Lugrin
741550000,Lullin (commune non irisée),Z,74155,Lullin
741560000,Lully (commune non irisée),Z,74156,Lully
741570000,Lyaud (commune non irisée),Z,74157,Lyaud
741580000,Machilly (commune non irisée),Z,74158,Machilly
741590000,Magland (commune non irisée),Z,74159,Magland
741600000,Manigod (commune non irisée),Z,74160,Manigod
741610000,Marcellaz-Albanais (commune non irisée),Z,74161,Marcellaz-Albanais
741620000,Marcellaz (commune non irisée),Z,74162,Marcellaz
